Node,Community
236,0
186,1
122,1
285,1
24,2
346,2
271,1
304,0
176,1
9,1
130,2
329,3
204,2
213,0
252,1
332,0
82,1
65,1
276,0
26,1
280,0
272,3
211,1
199,1
84,0
133,0
62,1
239,1
172,1
322,0
53,2
3,1
170,1
175,4
46,4
56,1
254,2
194,2
231,0
117,0
127,3
135,3
103,1
188,1
23,4
116,5
73,2
299,2
288,0
315,0
119,1
323,1
48,2
57,2
200,1
98,1
313,1
63,1
344,1
67,1
118,1
325,1
277,0
134,1
270,0
76,0
36,3
223,1
274,1
88,2
21,3
339,0
108,3
197,3
169,0
275,6
273,6
83,0
28,5
312,5
242,2
214,5
20,5
307,5
71,5
333,5
207,0
168,0
308,0
341,1
128,1
334,1
238,1
265,1
141,0
78,6
345,0
317,2
158,0
38,0
302,2
27,2
54,2
139,3
109,1
291,0
142,1
203,1
105,0
232,0
64,8
217,8
248,0
126,2
224,0
261,1
283,1
144,5
226,5
290,1
25,0
342,1
146,1
300,2
94,2
1,2
184,3
159,3
149,5
13,1
59,1
17,5
326,5
80,2
187,2
161,1
66,1
31,0
136,0
7,0
255,5
49,5
320,3
85,1
246,0
123,1
284,3
140,5
137,5
343,5
115,5
297,1
185,1
104,1
324,0
171,8
111,5
14,5
310,5
32,5
30,0
222,1
92,2
72,1
40,0
125,0
266,2
212,1
278,4
340,0
237,0
311,0
309,3
330,2
230,5
70,5
16,1
249,2
39,0
251,3
10,0
55,1
228,1
69,0
113,1
258,1
257,0
196,2
156,1
303,0
286,8
81,8
174,5
293,5
33,10
42,10
347,0
2,5
281,3
263,4
279,5
51,0
338,1
162,5
19,5
75,1
218,6
268,1
314,1
5,0
178,0
192,5
243,5
195,6
181,6
8,4
245,4
129,0
328,6
331,1
150,8
101,2
99,4
296,4
102,4
318,1
163,8
173,8
165,0
121,0
306,6
177,4
180,2
87,0
189,8
60,1
259,4
45,0
58,8
269,8
167,5
227,4
96,1
91,4
143,4
61,4
93,5
41,5
235,1
6,11
89,11
107,8
79,1
208,0
132,0
221,0
301,0
250,1
106,0
29,1
337,5
100,8
110,4
264,4
225,4
86,4
152,6
148,1
295,1
201,4
289,5
260,0
160,0
321,4
68,4
131,4
22,0
298,1
262,5
220,5
234,1
44,5
50,1
193,4
97,5
124,4
112,5
90,12
179,12
216,5
151,5
145,12
157,4
4,6
327,11
95,11
120,0
247,0
190,4
282,9
244,9
319,11
233,7
256,7
166,8
202,8
155,4
191,2
147,11
206,0
229,1
138,5
164,2
240,4
77,0
219,11
305,5
153,0
154,11
198,8
182,5
336,2
241,5
294,0
253,5
267,4
316,0
205,5
47,0
183,0
52,5
34,8
35,4
